Sample,FPR,Method
20,0.0604,Bootstrap
120,0.0517,Bootstrap
220,0.0529,Bootstrap
320,0.0525,Bootstrap
420,0.0513,Bootstrap
520,0.051,Bootstrap
620,0.0531,Bootstrap
720,0.0512,Bootstrap
820,0.052,Bootstrap
920,0.0534,Bootstrap
1020,0.0521,Bootstrap
20,0.0509,Delta
40,0.0528,Delta
60,0.0487,Delta
80,0.0502,Delta
100,0.051,Delta
120,0.0509,Delta
140,0.0517,Delta
160,0.052,Delta
180,0.0509,Delta
200,0.0522,Delta
220,0.0512,Delta
240,0.0513,Delta
260,0.0493,Delta
280,0.0521,Delta
300,0.0521,Delta
320,0.0493,Delta
340,0.0509,Delta
360,0.0531,Delta
380,0.0472,Delta
400,0.0477,Delta
420,0.0482,Delta
440,0.0479,Delta
460,0.0502,Delta
480,0.0495,Delta
500,0.052,Delta
520,0.0492,Delta
540,0.0518,Delta
560,0.0487,Delta
580,0.0523,Delta
600,0.0471,Delta
620,0.0527,Delta
640,0.0519,Delta
660,0.0507,Delta
680,0.0519,Delta
700,0.0521,Delta
720,0.0462,Delta
740,0.0514,Delta
760,0.0483,Delta
780,0.0466,Delta
800,0.0531,Delta
820,0.0507,Delta
840,0.0486,Delta
860,0.0482,Delta
880,0.0507,Delta
900,0.0502,Delta
920,0.0527,Delta
940,0.0521,Delta
960,0.0493,Delta
980,0.0548,Delta
1000,0.0484,Delta
1020,0.0517,Delta
1040,0.0529,Delta
1060,0.0512,Delta
1080,0.0499,Delta
20,0.0497,Linearization
40,0.0459,Linearization
60,0.0494,Linearization
80,0.049,Linearization
100,0.0512,Linearization
120,0.0506,Linearization
140,0.0502,Linearization
160,0.0509,Linearization
180,0.0479,Linearization
200,0.0485,Linearization
220,0.0511,Linearization
240,0.0481,Linearization
260,0.0484,Linearization
280,0.0495,Linearization
300,0.0529,Linearization
320,0.0495,Linearization
340,0.0505,Linearization
360,0.0525,Linearization
380,0.0515,Linearization
400,0.0538,Linearization
420,0.0479,Linearization
440,0.0484,Linearization
460,0.048,Linearization
480,0.0512,Linearization
500,0.0504,Linearization
520,0.0487,Linearization
540,0.0487,Linearization
560,0.0526,Linearization
580,0.0495,Linearization
600,0.0539,Linearization
620,0.0504,Linearization
640,0.0476,Linearization
660,0.0473,Linearization
680,0.0479,Linearization
700,0.0542,Linearization
720,0.0467,Linearization
740,0.0534,Linearization
760,0.0484,Linearization
780,0.0526,Linearization
800,0.0491,Linearization
820,0.0523,Linearization
840,0.0484,Linearization
860,0.0495,Linearization
880,0.0486,Linearization
900,0.0508,Linearization
920,0.0496,Linearization
940,0.0515,Linearization
960,0.0511,Linearization
980,0.0499,Linearization
1000,0.0474,Linearization
1020,0.0524,Linearization
1040,0.0499,Linearization
1060,0.0521,Linearization
1080,0.0504,Linearization
